Incident_types,Subgroups,Impacts,Average_Resolution_Time_Hour
DBA Incident,Snow Inventory Application,1 - Major,
DBA Incident,SQLSafe OLR Service,3 - Medium,
DBA Incident,SQLSafe OLR Service,4 - Low,18.73513888888889
DBA Incident,SQLSafe OLR Service,2 - High,
DBA Incident,SQLSafe OLR Service,1 - Major,
DBA Incident,SSIS,3 - Medium,
DBA Incident,SSIS,4 - Low,0.16472222222222221
DBA Incident,SSIS,2 - High,
DBA Incident,SSIS,1 - Major,
DBA Incident,TorchMark,3 - Medium,
DBA Incident,TorchMark,4 - Low,24.83972222222222
DBA Incident,TorchMark,2 - High,29.28388888888889
DBA Incident,TorchMark,1 - Major,
DBA Incident,Unidentified,3 - Medium,50.297222222222224
DBA Incident,Unidentified,4 - Low,80.42499206349207
DBA Incident,Unidentified,2 - High,100.320625
DBA Incident,Unidentified,1 - Major,
DBA Incident,Verodin Endpoint Service,3 - Medium,
DBA Incident,Verodin Endpoint Service,4 - Low,11.319074074074074
DBA Incident,Verodin Endpoint Service,2 - High,8.344166666666666
DBA Incident,Verodin Endpoint Service,1 - Major,
DBA Incident,Windows CPU WMI,3 - Medium,
DBA Incident,Windows CPU WMI,4 - Low,311.6927777777778
DBA Incident,Windows CPU WMI,2 - High,
DBA Incident,Windows CPU WMI,1 - Major,
Network Incident,,3 - Medium,
Network Incident,,4 - Low,
Network Incident,,2 - High,
Network Incident,,1 - Major,
SQL Maintainence Incident,DatamartMetrics,3 - Medium,62.83185185185185
SQL Maintainence Incident,DatamartMetrics,4 - Low,
SQL Maintainence Incident,DatamartMetrics,2 - High,
SQL Maintainence Incident,DatamartMetrics,1 - Major,
SQL Maintainence Incident,Quest Change Auditor Agent,3 - Medium,3.7395833333333335
SQL Maintainence Incident,Quest Change Auditor Agent,4 - Low,
SQL Maintainence Incident,Quest Change Auditor Agent,2 - High,
SQL Maintainence Incident,Quest Change Auditor Agent,1 - Major,
SQL Maintainence Incident,Rubrik Backup Service,3 - Medium,12.441493055555556
SQL Maintainence Incident,Rubrik Backup Service,4 - Low,
SQL Maintainence Incident,Rubrik Backup Service,2 - High,
SQL Maintainence Incident,Rubrik Backup Service,1 - Major,
SQL Maintainence Incident,Server Access Issue,3 - Medium,77.0338888888889
SQL Maintainence Incident,Server Access Issue,4 - Low,
SQL Maintainence Incident,Server Access Issue,2 - High,
SQL Maintainence Incident,Server Access Issue,1 - Major,
SQL Maintainence Incident,Snow Inventory Application,3 - Medium,12.363125
SQL Maintainence Incident,Snow Inventory Application,4 - Low,
SQL Maintainence Incident,Snow Inventory Application,2 - High,
SQL Maintainence Incident,Snow Inventory Application,1 - Major,
SQL Maintainence Incident,VSphere VM Backup Failure,3 - Medium,9.803641975308642
SQL Maintainence Incident,VSphere VM Backup Failure,4 - Low,0.7691666666666667
SQL Maintainence Incident,VSphere VM Backup Failure,2 - High,
SQL Maintainence Incident,VSphere VM Backup Failure,1 - Major,
SQL Maintainence Incident,Windows Service WMI,3 - Medium,7.088333333333333
SQL Maintainence Incident,Windows Service WMI,4 - Low,
SQL Maintainence Incident,Windows Service WMI,2 - High,
SQL Maintainence Incident,Windows Service WMI,1 - Major,
